,train,val,test
ROI_46_tma1,True,False,False
ROI_70_tma1,True,False,False
ROI_10_tma1,True,False,False
ROI_157_tma1,True,False,False
ROI_123_tma1,True,False,False
ROI_142_tma1,True,False,False
ROI_150_tma1,True,False,False
ROI_17_tma1,True,False,False
ROI_11_tma1,True,False,False
ROI_24_tma1,True,False,False
ROI_131_tma1,True,False,False
ROI_99_tma1,True,False,False
ROI_101_tma1,True,False,False
ROI_65_tma1,True,False,False
ROI_45_tma1,True,False,False
ROI_58_tma1,True,False,False
ROI_61_tma1,True,False,False
ROI_43_tma1,True,False,False
ROI_116_tma1,True,False,False
ROI_59_tma1,True,False,False
ROI_29_tma1,True,False,False
ROI_55_tma1,True,False,False
ROI_64_tma1,True,False,False
ROI_144_tma1,True,False,False
ROI_147_tma1,True,False,False
ROI_136_tma1,True,False,False
ROI_31_tma2,True,False,False
ROI_111_tma1,True,False,False
ROI_20_tma1,True,False,False
ROI_4_tma1,True,False,False
ROI_88_tma1,True,False,False
ROI_57_tma1,True,False,False
ROI_60_tma1,True,False,False
ROI_9_tma1,True,False,False
ROI_74_tma1,True,False,False
ROI_50_tma1,True,False,False
ROI_30_tma1,True,False,False
ROI_33_tma1,True,False,False
ROI_117_tma1,True,False,False
ROI_34_tma1,True,False,False
ROI_25_tma1,True,False,False
ROI_51_tma1,True,False,False
ROI_158_tma1,True,False,False
ROI_6_tma2,True,False,False
ROI_112_tma1,True,False,False
ROI_22_tma1,True,False,False
ROI_152_tma1,True,False,False
ROI_19_tma1,True,False,False
ROI_8_tma1,True,False,False
ROI_77_tma1,True,False,False
ROI_156_tma1,True,False,False
ROI_41_tma1,True,False,False
ROI_32_tma1,True,False,False
ROI_113_tma1,True,False,False
ROI_53_tma1,True,False,False
ROI_72_tma1,True,False,False
ROI_143_tma1,True,False,False
ROI_135_tma1,True,False,False
ROI_151_tma1,True,False,False
ROI_31_tma1,True,False,False
ROI_4_tma2,True,False,False
ROI_122_tma1,True,False,False
ROI_54_tma1,True,False,False
ROI_76_tma1,True,False,False
ROI_75_tma1,True,False,False
ROI_1_tma1,True,False,False
ROI_146_tma1,True,False,False
ROI_36_tma1,True,False,False
ROI_84_tma1,True,False,False
ROI_137_tma1,True,False,False
ROI_85_tma1,True,False,False
ROI_145_tma1,True,False,False
ROI_102_tma1,True,False,False
ROI_125_tma1,True,False,False
ROI_153_tma1,True,False,False
ROI_18_tma1,True,False,False
ROI_7_tma1,True,False,False
ROI_124_tma1,True,False,False
ROI_14_tma1,True,False,False
ROI_15_tma1,True,False,False
ROI_104_tma1,True,False,False
ROI_71_tma1,True,False,False
ROI_79_tma1,True,False,False
ROI_140_tma1,True,False,False
ROI_87_tma1,True,False,False
ROI_78_tma1,True,False,False
ROI_141_tma1,True,False,False
ROI_81_tma1,True,False,False
ROI_95_tma1,True,False,False
ROI_128_tma1,True,False,False
ROI_40_tma1,True,False,False
ROI_107_tma1,True,False,False
ROI_49_tma1,True,False,False
ROI_16_tma1,True,False,False
ROI_130_tma1,True,False,False
ROI_56_tma1,True,False,False
ROI_27_tma1,True,False,False
ROI_13_tma1,True,False,False
ROI_38_tma1,True,False,False
ROI_115_tma1,True,False,False
ROI_26_tma1,True,False,False
ROI_148_tma1,True,False,False
ROI_21_tma1,True,False,False
ROI_37_tma1,True,False,False
ROI_35_tma1,True,False,False
ROI_92_tma1,True,False,False
ROI_149_tma1,True,False,False
ROI_94_tma1,True,False,False
ROI_169_tma2,True,False,False
ROI_84_tma2,True,False,False
ROI_39_tma2,True,False,False
ROI_98_tma2,True,False,False
ROI_1_tma2,True,False,False
ROI_108_tma1,True,False,False
ROI_86_tma2,True,False,False
ROI_121_tma2,True,False,False
ROI_47_tma2,True,False,False
ROI_118_tma2,True,False,False
ROI_170_tma2,True,False,False
ROI_119_tma1,True,False,False
ROI_58_tma2,True,False,False
ROI_163_tma2,True,False,False
ROI_53_tma2,True,False,False
ROI_174_tma2,True,False,False
ROI_78_tma2,True,False,False
ROI_63_tma2,True,False,False
ROI_59_tma2,True,False,False
ROI_171_tma2,True,False,False
ROI_38_tma2,True,False,False
ROI_54_tma2,True,False,False
ROI_61_tma2,True,False,False
ROI_104_tma2,True,False,False
ROI_166_tma2,True,False,False
ROI_89_tma1,True,False,False
ROI_52_tma2,True,False,False
ROI_88_tma2,True,False,False
ROI_172_tma2,True,False,False
ROI_94_tma2,True,False,False
ROI_134_tma1,True,False,False
ROI_57_tma2,True,False,False
ROI_48_tma2,True,False,False
ROI_3_tma2,True,False,False
ROI_37_tma2,True,False,False
ROI_75_tma2,True,False,False
ROI_73_tma2,True,False,False
ROI_118_tma1,True,False,False
ROI_81_tma2,True,False,False
ROI_85_tma2,True,False,False
ROI_62_tma2,True,False,False
ROI_49_tma2,True,False,False
ROI_41_tma2,True,False,False
ROI_135_tma2,True,False,False
ROI_143_tma2,True,False,False
ROI_122_tma2,True,False,False
ROI_64_tma2,True,False,False
ROI_90_tma2,True,False,False
ROI_168_tma2,True,False,False
ROI_70_tma2,True,False,False
ROI_34_tma2,True,False,False
ROI_95_tma2,True,False,False
ROI_132_tma1,True,False,False
ROI_67_tma1,True,False,False
ROI_96_tma2,True,False,False
ROI_80_tma1,True,False,False
ROI_148_tma2,True,False,False
ROI_40_tma2,True,False,False
ROI_60_tma2,True,False,False
ROI_155_tma1,True,False,False
ROI_44_tma1,True,False,False
ROI_149_tma2,True,False,False
ROI_120_tma1,True,False,False
ROI_28_tma1,True,False,False
ROI_147_tma2,True,False,False
ROI_133_tma1,True,False,False
ROI_126_tma1,True,False,False
ROI_65_tma2,True,False,False
ROI_142_tma2,True,False,False
ROI_173_tma2,True,False,False
ROI_33_tma2,True,False,False
ROI_102_tma2,True,False,False
ROI_69_tma1,True,False,False
ROI_93_tma2,True,False,False
ROI_137_tma2,True,False,False
ROI_89_tma2,True,False,False
ROI_119_tma2,True,False,False
ROI_150_tma2,True,False,False
ROI_175_tma2,True,False,False
ROI_123_tma2,True,False,False
ROI_73_tma1,True,False,False
ROI_32_tma2,True,False,False
ROI_69_tma2,True,False,False
ROI_8_tma2,True,False,False
ROI_159_tma2,True,False,False
ROI_144_tma2,True,False,False
ROI_63_tma1,True,False,False
ROI_97_tma2,True,False,False
ROI_120_tma2,True,False,False
ROI_67_tma2,True,False,False
ROI_136_tma2,True,False,False
ROI_52_tma1,True,False,False
ROI_77_tma2,True,False,False
ROI_96_tma1,True,False,False
ROI_51_tma2,True,False,False
ROI_91_tma2,True,False,False
ROI_110_tma2,True,False,False
ROI_160_tma2,True,False,False
ROI_134_tma2,True,False,False
ROI_101_tma2,True,False,False
ROI_158_tma2,True,False,False
ROI_5_tma2,True,False,False
ROI_138_tma2,True,False,False
ROI_80_tma2,True,False,False
ROI_66_tma2,True,False,False
ROI_180_tma2,True,False,False
ROI_109_tma2,True,False,False
ROI_164_tma2,True,False,False
ROI_129_tma1,False,True,False
ROI_106_tma1,False,True,False
ROI_5_tma1,False,True,False
ROI_114_tma1,False,True,False
ROI_68_tma1,False,True,False
ROI_138_tma1,False,True,False
ROI_39_tma1,False,True,False
ROI_98_tma1,False,True,False
ROI_3_tma1,False,True,False
ROI_7_tma2,False,True,False
ROI_47_tma1,False,True,False
ROI_86_tma1,False,True,False
ROI_48_tma1,False,True,False
ROI_83_tma1,False,True,False
ROI_90_tma1,False,True,False
ROI_44_tma2,False,True,False
ROI_125_tma2,False,True,False
ROI_83_tma2,False,True,False
ROI_151_tma2,False,True,False
ROI_91_tma1,False,True,False
ROI_21_tma2,False,True,False
ROI_146_tma2,False,True,False
ROI_43_tma2,False,True,False
ROI_113_tma2,False,True,False
ROI_23_tma2,False,True,False
ROI_45_tma2,False,True,False
ROI_131_tma2,False,True,False
ROI_46_tma2,False,True,False
ROI_2_tma1,False,False,True
ROI_103_tma1,False,False,True
ROI_154_tma1,False,False,True
ROI_6_tma1,False,False,True
ROI_127_tma1,False,False,True
ROI_109_tma1,False,False,True
ROI_121_tma1,False,False,True
ROI_105_tma1,False,False,True
ROI_66_tma1,False,False,True
ROI_100_tma1,False,False,True
ROI_42_tma1,False,False,True
ROI_139_tma1,False,False,True
ROI_23_tma1,False,False,True
ROI_62_tma1,False,False,True
ROI_82_tma1,False,False,True
ROI_108_tma2,False,False,True
ROI_87_tma2,False,False,True
ROI_97_tma1,False,False,True
ROI_68_tma2,False,False,True
ROI_162_tma2,False,False,True
ROI_165_tma2,False,False,True
ROI_16_tma2,False,False,True
ROI_179_tma2,False,False,True
ROI_50_tma2,False,False,True
ROI_177_tma2,False,False,True
ROI_145_tma2,False,False,True
ROI_110_tma1,False,False,True
ROI_176_tma2,False,False,True
